5F69 (彩): 着色,ペイント,化粧 | coloring,paint,makeup
634C (捌): ハンドル,扱う,処分します,売る,需要が,世俗的なこと,率直に言えば,話せます,捌けます,排水,販売,求める,8 | handle,deal with,dispose of,sell,be in demand,be worldly,be frank,be sensible,be sociable,drainage,sale,demand for,eight
9306 (錆): 変色 | tarnish
9BAB (鮫): 鮫 | shark
76BF (皿): 皿,助け,プレート | dish,a helping,plate
6652 (晒): 漂白,リファイン,晒す,空気 | bleach,refine,expose,air
4E09 (三): 三 | three
5098 (傘): 傘 | umbrella
53C2 (参): 窮地に追い込まれて,（文書で）3,行き,到来,訪問,訪問,負けます,死にます,参ります,参加します,参加する | nonplussed,three (in documents),going,coming,visiting,visit,be defeated,die,be madly in love,participate,take part in
5C71 (山): 山 | mountain
60E8 (惨): 悲惨な,災害,残酷さ,厳しいです | wretched,disaster,cruelty,harsh
6492 (撒): スキャッター,振りかけます,彼らにスリップを与えます | scatter,sprinkle,give them the slip
6563 (散): スキャッター,分散させます,費やす,浪費 | scatter,disperse,spend,squander
685F (桟): 足場,クリート,フレーム,桟橋,ボルト（ドア） | scaffold,cleat,frame,jetty,bolt (door)
71E6 (燦): ブリリアント | brilliant
73CA (珊): コーラル,センチメートル | coral,centimeter
7523 (産): プロダクト,くま,出産します,産出,出産,ネイティブ,プロパティ | products,bear,give birth,yield,childbirth,native,property
7B97 (算): 計算します,卜,数,そろばん,確率 | calculate,divining,number,abacus,probability
7E82 (纂): 編集,コンパイル | editing,compiling
8695 (蚕): カイコ | silkworm
8B83 (讃): 賞賛,絵のタイトル | praise,title on a picture
8CDB (賛): 承認します,賞賛,絵のタイトルや碑文,支援する,に同意する | approve,praise,title or inscription on picture,assist,agree with
9178 (酸): 酸,苦味,サワー,タルト | acid,bitterness,sour,tart
9910 (餐): 食べる,ドリンク,飲み込む | eat,drink,swallow
65AC (斬): 断頭,殺します,殺人 | beheading,kill,murder
66AB (暫): 一時的に,しばらく,瞬間,長い時間 | temporarily,a while,moment,long time
6B8B (残): 残り,残り,バランス | remainder,leftover,balance
4ED5 (仕): 出席する,実行,公式,サーブ | attend,doing,official,serve
4ED4 (仔): 子孫（動物）,詳しいです,罰金 | offspring (animal),detailed,fine
4F3A (伺): 敬意を払います,訪問,頼みます,問い合わせます,質問,請います | pay respects,visit,ask,inquire,question,implore
4F7F (使): つかいます,ミッションに送ります,注文,メッセンジャー,使節,大使,原因 | use,send on a mission,order,messenger,envoy,ambassador,cause
523A (刺): とげ,ピアス,刺します,刺します,刺します,テレフォンカード | thorn,pierce,stab,prick,sting,calling card
53F8 (司): ディレクター,公式,ガバメントオフィス,ルール,管理します | director,official,govt office,rule,administer
53F2 (史): 歴史,クロニクル | history,chronicle
55E3 (嗣): 相続人,成功します | heir,succeed
56DB (四): 4つの | four
58EB (士): 紳士,武士,侍ラジカル（NO。33） | gentleman,samurai,samurai radical (no. 33)
59CB (始): 始まります,ベギン | commence,begin
59C9 (姉): 姉 | elder sister
59FF (姿): フィギュア,形,形状 | figure,form,shape
