9DED (鷭): 水編,バンの類の水鳥 | water hen,gallinulle
4E44 (乄): 住む場所を見つけるために,和,紙の測定,実行します,合算,バンドル,8.5ポンド,（kokuji） | to find a place to dwell,sum,measurement of paper,to do,adding up,bundle,8.5 lb,(kokuji)
4E47 (乇): 拠り所にする,で委託します | to depend on,to entrust with
4E51 (乑): 並んで立ちます,アセンブル | stand side by side,assemble
4E5A (乚): 隠されました,神秘的な,秘密,隠す,小さい,分,釣り針ラジカルバリアント（なし。5） | hidden,mysterious,secret,to conceal,small,minute,fishhook radical variant (no. 5)
4E5C (乜): 目を細めします,何？ ハァッ？  （聖歌。） | to squint,what? huh? (Cant.)
4E63 (乣):  | 
4E68 (乨): 初め,開始するには,始める,最初にします | the beginning,to start,to begin,to be the first
4E69 (乩): 神へ | to divine
4E74 (乴):  | 
4E75 (乵): 入力します,進捗状況を作るために,進む,前方に促します | to enter,to make progress,to advance,to urge forward
4E79 (乹): 干ばつ,ドライ,dessicated,飲み干す,天国,天皇 | drought,dry,dessicate,drink up,heaven,emperor
4E7F (乿): 治癒へ,癒すために | to cure,to heal
