55AE (單): 1,シングル,シンプル | one,single,simple
56C2 (囂): うるさい,騒々しいです | noisy,boisterous
56BC (嚼): 一口 | bite
56C1 (囁): ささやきます,つぶやき | whisper,murmur
56C3 (囃): 音楽を再生）,同行します,時間を打ちます,冷やかし,冷やかす,拍手を送ります | play (music),accompany,beat time,banter,jeer,applaud
56C0 (囀): 歌う,チャープ,さえずり,おしゃべり | sing,chirp,warble,chatter
56C8 (囈): 馬鹿話 | foolish talk
56CE (囎): 地名で使用,（kokuji） | used in place names,(kokuji)
56D1 (囑): 要求,メッセージを送ります | request,send a message
56D3 (囓): かじります | gnaw
56D7 (囗): ボックス,（なし。31）ラジカルを箱またはエンクロージャ | box,box or enclosure radical (no. 31)
56EE (囮): デコイ,ルアー,スツール鳩 | decoy,lure,stool pigeon
56F9 (囹): 刑務所 | prison
5700 (圀): 国 | country
56FF (囿): ゲーム保存,牧草地,庭園 | game preserve,pasture,garden
5704 (圄): 刑務所,逮捕 | prison,arrest
5709 (圉): 刑務所,馬の入札,きゅう務員 | prison,horse tender,ostler
5708 (圈): 球,サークル,半径,範囲 | sphere,circle,radius,range
570B (國): 国 | country
570D (圍): 同封します,囲む,取り囲みます,保存します,格納,キープ | enclose,surround,encircle,preserve,store,keep
5713 (圓): 円,サークル,円形 | yen,circle,round
5718 (團): 協会 | association
5716 (圖): お絵かき,計画 | drawing,plan
55C7 (嗇): けちな,けちな,スペアリング | miserly,stingy,sparing
571C (圜): 円形,行き渡る | round,go around
5726 (圦): 水門,注ぎ口,水門,水圧管,（kokuji） | sluice,spout,floodgate,penstock,(kokuji)
5737 (圷): 低地,（kokuji） | low-lying land,(kokuji)
5738 (圸): 急斜面,（kokuji） | steep slope,(kokuji)
574E (坎): 落とし穴 | pitfall
573B (圻): 首都を囲む領域 | region surrounding the capital
5740 (址): 廃墟 | ruins
574F (坏): ボウル | bowl
5769 (坩): ジャー,ポット | jar,pot
57C0 (埀): 失望させる,サスペンド,ハンド,ダウン | let down,suspend,hand,down
5788 (垈): 沼地,湿原,泥だらけのフィールド,（kokuji） | swamp,wetlands,muddy fields,(kokuji)
5761 (坡): 堤防,ダム,スロープ,バンク | dike,dam,slope,bank
577F (坿): スロープ,丘 | slope,hill
5789 (垉): 崩壊,ブレーク | collapse,break
5793 (垓): 境界,境界,階段,百京 | border,boundary,staircase,hundred quintillion
57A0 (垠): リミット,境界 | limit,boundary
57B3 (垳): 崖,固有名詞で使用,（kokuji） | cliff,used in proper names,(kokuji)
57A4 (垤): 蟻塚,丘 | anthill,hill
57AA (垪): 固有名詞で使用 | used in proper names
57B0 (垰): 峠,古代のくに,低地,（kokuji） | mountain pass,ancient kuni,low ground,(kokuji)
57C3 (埃): ほこり | dust
57C6 (埆): 不毛の土地 | barren land
57D4 (埔): 中国の地名で使用 | used in Chinese place names
57D2 (埒): ピケット,境界,解決します | picket,limits,be settled
57D3 (埓): 淡いです,杭柵,境界,終わります | pale,picket fence,limits,come to an end
580A (堊): ごまかし | whitewash
57D6 (埖): ごみ,ごみ,（kokuji） | garbage,refuse,(kokuji)
57E3 (埣): 不毛の土地 | barren land
580B (堋): 埋め込む,アーチェリーターゲットマウンド | bury,archery target mound
5819 (堙): 閉じる,塞ぎます | close up,stop up
581D (堝): 坩堝,るつぼ | crucible,melting pot
5872 (塲): オープンスペース,フィールド,市場 | open space,field,market
5821 (堡): 砦 | fort
5862 (塢): 要塞堤防,村 | fortress embankment,village
584B (塋): 墓地 | cemetery
