5F14 (弔): 哀悼の意,喪,葬儀 | condolences,mourning,funeral
69FB (槻): ケヤキの木 | Zelkova tree
4F43 (佃): 佃 | cultivated rice field
6F2C (漬): 酸洗い,ソーク,潤します,急な | pickling,soak,moisten,steep
67D8 (柘): 野生の桑 | wild mulberry
8FBB (辻): 交差点,交差点,街角,（kokuji） | crossing,crossroad,street corners,(kokuji)
8526 (蔦): ぶどうの木,ツタ | vine,ivy
7DB4 (綴): 構成します,スペル,書きます,バインド（書籍） | compose,spell,write,bind (books)
9354 (鍔): 鍔,ケトルのつば | sword guard,kettle brim
693F (椿): カメリア | camellia
6F70 (潰): クラッシュ,スマッシュ,ブレーク,消散させます | crush,smash,break,dissipate
576A (坪): 2畳エリア,約 三〇から六平方フィート | two-mat area,approx. thirty-six sq ft
58F7 (壷): ジャー,ポット,ヒンジナックル,1の目的 | jar,pot,hinge knuckle,one\'s aim
5B2C (嬬): 愛人,弱い | mistress,weak
7D2C (紬): 紬（結び目絹の布） | pongee (a knotted silk cloth)
722A (爪): 爪,ネイル,タロン | claw,nail,talon
540A (吊): サスペンド,ハング,摩耗（剣） | suspend,hang,wear (sword)
91E3 (釣): 釣り,魚,キャッチ,魅力,誘惑します | angling,fish,catch,allure,ensnare
9DB4 (鶴): クレーン,コウノトリ | crane,stork
4EAD (亭): パビリオン,レストラン,マンション,アーバー,コテージ,寄席,ミュージックホール,芸名 | pavilion,restaurant,mansion,arbor,cottage,vaudeville,music hall,stage name
4F4E (低): 下段,ショート,謙虚な | lower,short,humble
505C (停): 停止,停止 | halt,stopping
5075 (偵): スパイ | spy
5243 (剃): 剃ります | shave
8C9E (貞): 直立,貞操,恒常,正義 | upright,chastity,constancy,righteousness
5448 (呈): 表示,提供,現在,送信,示す | display,offer,present,send,exhibit
5824 (堤): 堤防,バンク,堤防 | dike,bank,embankment
5B9A (定): 決定します,修正します,確立します,決めます | determine,fix,establish,decide
5E1D (帝): ソブリン,皇帝、天皇,神,クリエイター | sovereign,the emperor,god,creator
5E95 (底): ボトム,唯一,深さ,底値,ベース,種類,ソート | bottom,sole,depth,bottom price,base,kind,sort
5EAD (庭): 中庭,庭園,ヤード | courtyard,garden,yard
5EF7 (廷): 裁判所,朝廷,役所 | courts,imperial court,government office
5F1F (弟): 弟,年長者に忠実なサービス | younger brother,faithful service to elders
608C (悌): 私たちの長老たちにサービスを提供 | serving our elders
62B5 (抵): 抵抗します,リーチ,タッチ | resist,reach,touch
633A (挺): 銃のためのカウンタ,インクスティック,palanquins,人力車,勇敢にボランティア | counter for guns, inksticks, palanquins, rickshaws,bravely volunteer
63D0 (提): 提案します,連れていく,提げます | propose,take along,carry in hand
68AF (梯): はしご,階段,飽くことのない飲料 | ladder,stairs,insatiable drinking
6C40 (汀): 水際,海岸,バンク | water\'s edge,shore,bank
7887 (碇): アンカー,四爪錨 | anchor,grapnel
798E (禎): 幸福,恵まれました,幸運,縁起の良いです | happiness,blessed,good fortune,auspicious
7A0B (程): エクステント,度,法律,式,距離,境界,量 | extent,degree,law,formula,distance,limits,amount
7DE0 (締): 締め付けます,ネクタイ,シャット,ロック,留めます | tighten,tie,shut,lock,fasten
8247 (艇): 漕ぎ舟,小さなボート | rowboat,small boat
8A02 (訂): 修正します,正しい,決めます | revise,correct,decide
8AE6 (諦): 真実,明快,放棄します,あきらめる | truth,clarity,abandon,give up
8E44 (蹄): 蹄 | hoof
9013 (逓): リレー,順番に,送信 | relay,in turn,sending
90B8 (邸): レジデンス,マンション | residence,mansion
912D (鄭): 古代中国の省 | an ancient Chinese province
91D8 (釘): ネイル,タック,ペグ | nail,tack,peg
9F0E (鼎): 3本足のやかん | three legged kettle
6CE5 (泥): 泥,泥沼,付着する,に添付され | mud,mire,adhere to,be attached to
6458 (摘): ピンチ,選ぶ,摘みます,トリム,クリップ,まとめます | pinch,pick,pluck,trim,clip,summarize
64E2 (擢): で秀でます,しのぎます,引き出す,選択します | excel in,surpass,pull out,select
6575 (敵): 敵,敵,相手 | enemy,foe,opponent
6EF4 (滴): 滴下,ドロップ | drip,drop
