6B89 (殉): 殉教,辞任によって従ってください | martyrdom,follow by resigning
6E09 (渉): フォード,クロスを行きます,トランジット,フェリー,インポート,巻き込みます | ford,go cross,transit,ferry,import,involve
6E58 (湘): 中国の川の名前,相模川 | name of Chinese river,the Sagami river
713C (焼): 焼く,燃焼 | bake,burning
7126 (焦): チャー,急ぎます,せっかち,刺激します,燃やす,スコーチ,焦がします | char,hurry,impatient,irritate,burn,scorch,singe
7167 (照): イルミナティ,輝き,比較します,恥ずかしがり屋の | illuminate,shine,compare,bashful
75C7 (症): 症状,病気 | symptoms,illness
7701 (省): フォーカス,政府の省庁,節約します | focus,government ministry,conserve
785D (硝): 硝酸塩,硝石 | nitrate,saltpeter
7901 (礁): リーフ,サンケンロック | reef,sunken rock
7965 (祥): 縁起の良いです,幸福,幸福,良い前兆,幸運 | auspicious,happiness,blessedness,good omen,good fortune
79F0 (称): 名称,賞賛,感心します,名,タイトル,名声 | appellation,praise,admire,name,title,fame
7AE0 (章): バッジ,章,組成,詩,設計 | badge,chapter,composition,poem,design
7B11 (笑): 笑い | laugh
7CA7 (粧): 化粧品,飾る（1 \ 'sの人） | cosmetics,adorn (one\'s person)
7D39 (紹): 紹介します,受け継ぎます,助けて | introduce,inherit,help
8096 (肖): 類似 | resemblance
83D6 (菖): 虹彩 | iris
848B (蒋): リード | reed
8549 (蕉): バナナ,オオバコ | banana,plantain
885D (衝): 衝突します,矛先,高速道路,野党（天文学）,推力,ピアス,刺します,刺します | collide,brunt,highway,opposition (astronomy),thrust,pierce,stab,prick
88F3 (裳): スカート | skirt
8A1F (訟): 訴える,非難します | sue,accuse
8A3C (証): 証拠,証明,証明書 | evidence,proof,certificate
8A54 (詔): 詔勅 | imperial edict
8A73 (詳): 詳しいです,フル,分,正確,博識の | detailed,full,minute,accurate,well-informed
8C61 (象): 象,象ります,模倣します,画像,形状,（時間の）兆候 | elephant,pattern after,imitate,image,shape,sign (of the times)
8CDE (賞): 賞,褒賞,賞賛 | prize,reward,praise
91A4 (醤): 味噌の種類 | a kind of miso
9266 (鉦): 鐘,ゴング,チャイム | bell,gong,chimes
937E (鍾): スピンドル,ギャザー,収集します | spindle,gather,collect
9418 (鐘): 鐘,ゴング,チャイム | bell,gong,chimes
969C (障): 妨げます,傷つけます,害 | hinder,hurt,harm
