5340 (區): 区,地区 | ward,district
54C2 (哂): 冷笑するような笑い,冷笑 | derisive laugh,sneer
54A4 (咤): （舌で）をクリック,アップブレイド,同情,げっぷ | clicking (with tongue),upbraid,pity,belch
54BE (咾): 音声 | voice
54BC (咼): 曲がった口,悪の,不正直 | crooked mouth,evil,dishonest
54D8 (哘): （kokuji）,招待,誘惑します | (kokuji),invite,entice
54E5 (哥): 兄 | big brother
54E6 (哦): 歌う | sing
550F (唏): 嘆く,悲しみます | lament,grieve
5514 (唔): 読み上げ音声 | reading voice
54FD (哽): すすり泣き,詰まっます | sob,get choked up
54EE (哮): とどろき,遠ぼえ,うなり声,怒鳴ります | roar,howl,growl,bellow
54ED (哭): 泣きます,うめき声,悲しみます | weep,moan,wail
54FA (哺): ナース,乳を飲みます | nurse,suckle
54E2 (哢): チャープ,さえずり,さえずり | chirp,twitter,warble
5539 (唹): 笑い,笑顔 | laugh,smile
5540 (啀): 口論,でうなり声 | wrangle,growl at
5563 (啣): 口の中や歯の間に開催 | hold in mouth or between teeth
554C (啌): 怒った声,うがい,喉 | angry voice,gargle,throat
552E (售): 売る,人気があります | sell,be popular
555C (啜): 吸います,一口 | suck,sip
5545 (啅): うるさい,つつきます,チャーピング,さえずり | noisy,peck at,chirping,twittering
5556 (啖): 食べる | eat
5557 (啗): 魅力,誘惑します | allure,entice
5538 (唸): うめき声,とどろき | groan,roar
5533 (唳): 泣く,鳥の警笛,蝉のdroning | cry,honking of birds,droning of cicadas
555D (啝): 続きます,子供のいません | follow,childless
5599 (喙): 嘴 | beak
5580 (喀): 嘔吐 | vomit
54AF (咯): けんか | quarrel
558A (喊): 泣く,コール | cry,call
559F (喟): うめき声 | moan
557B (啻): 比類のありません,単に | incomparable,merely
557E (啾): 泣く,泣きます,いななき | cry,whimper,neigh
5598 (喘): パンツ,あえぎ,喘ぎます | pant,gasp,breathe hard
559E (喞): 憤慨話します | speak resentfully
