4E9C (亜): アジア,次のランク,後に来ます,〜の特徴を持ちます | Asia,rank next,come after,-ous
5A01 (威): 脅します,尊厳,威厳,脅威,脅かす | intimidate,dignity,majesty,menace,threaten
5C09 (尉): 武官,看守,老人,ランク | military officer,jailer,old man,rank
60DF (惟): 考えます,反映します,考えます | consider,reflect,think
610F (意): アイディア,マインド,ハート,味,思想,慾望,お手入れ,好み | idea,mind,heart,taste,thought,desire,care,liking
6170 (慰): 慰め,アミューズメント,誘惑します,歓声,のスポーツをします,快適さ,コンソール | consolation,amusement,seduce,cheer,make sport of,comfort,console
6613 (易): 簡単に,への準備ができて,シンプル,占い,占い | easy,ready to,simple,fortune-telling,divination
6905 (椅): 椅子 | chair
70BA (為): 行う,変化する,作ります,利益,福祉,使用されること,に達します,試します,練習,コスト,として役立ちます,良い,利点,結果として | do,change,make,benefit,welfare,be of use,reach to,try,practice,cost,serve as,good,advantage,as a result of
754F (畏): 恐れ,雄大な,優雅に,不安です | fear,majestic,graciously,be apprehensive
7570 (異): 珍しいです,異なります,奇妙さ,ストレンジネス,素晴らしい,好奇心の強いです,珍しいです | uncommon,different,queerness,strangeness,wonderful,curious,unusual
79FB (移): シフト,移動,変化する,ドリフト,風邪をひく,火災）,渡します | shift,move,change,drift,catch (cold, fire),pass into
7DAD (維): ファイバ,ネクタイ,ロープ | fiber,tie,rope
7DEF (緯): 水平の,横糸,左＆; 右,（の類似点）は、緯度,予測 | horizontal,woof,left &amp; right,(parallels of) latitude,prediction
80C3 (胃): 胃,太鼓腹,作物,胃袋 | stomach,paunch,crop,craw
840E (萎): 枯れます,ドループ,ラメ | wither,droop,lame
8863 (衣): 衣服,服,ドレッシング | garment,clothes,dressing
8B02 (謂): 理由,原点,歴史,口承 | reason,origin,history,oral tradition
9055 (違): 差,異なる | difference,differ
907A (遺): 遺します,残す,リザーブ | bequeath,leave behind,reserve
533B (医): 医師,医学 | doctor,medicine
4E95 (井): よく,井筒,タウン,コミュニティ | well,well crib,town,community
4EA5 (亥): 豚の兆候,9-11PM,干支の第十二の兆候 | sign of the hog,9-11PM,twelfth sign of the Chinese zodiac
57DF (域): 範囲,領域,境界,ステージ,レベル | range,region,limits,stage,level
80B2 (育): 持ってくる,成長する,レイズ,リア | bring up,grow up,raise,rear
90C1 (郁): 文化の進展,香水 | cultural progress,perfume
78EF (磯): 海岸,ビーチ | seashore,beach
4E00 (一): 1,1ラジカル（1番） | one,one radical (no.1)
58F1 (壱): （文書で）1 | one (in documents)
6EA2 (溢): オーバーフロー,浸水しました,流出 | overflow,inundate,spill
9038 (逸): 外れます,怠惰,余暇,的を外します,逃れます,逃れます,受け流し,発散します | deviate,idleness,leisure,miss the mark,evade,elude,parry,diverge
7A32 (稲): 稲 | rice plant
8328 (茨): ブライヤー,とげ | briar,thorn
828B (芋): ポテト | potato
9C2F (鰯): イワシ,（kokuji） | sardine,(kokuji)
5141 (允): ライセンス,誠実,許可 | license,sincerity,permit
5370 (印): 切手,シール,マーク,インプリント,シンボル,エンブレム,商標,証拠,お土産,インド | stamp,seal,mark,imprint,symbol,emblem,trademark,evidence,souvenir,India
54BD (咽): 喉,詰まりました,窒息死,息苦しいです | throat,choked,smothered,stuffy
54E1 (員): 従業員,メンバー,数,担当の1 | employee,member,number,the one in charge
56E0 (因): 原因,因子,関連付けられていること,頼ります,に限定されます | cause,factor,be associated with,depend on,be limited to
59FB (姻): 結婚生活,結婚します | matrimony,marry
5F15 (引): 引く,強く引っ張ります,ジャーク,認めます,インストール,見積もり,を参照してください。 | pull,tug,jerk,admit,install,quote,refer to
98F2 (飲): ドリンク,煙,取る | drink,smoke,take
6DEB (淫): 淫乱,放逸 | lewdness,licentiousness
80E4 (胤): 子孫,問題,子孫 | descendent,issue,offspring
852D (蔭): シェード,影,バッキング支援 | shade,shadow,backing assistance
9662 (院): 工大。,機関,寺院,マンション,学校 | Inst.,institution,temple,mansion,school
9670 (陰): シェード,陰,負,性器,秘密,影 | shade,yin,negative,sex organs,secret,shadow
96A0 (隠): 隠す,隠す,カバー | conceal,hide,cover
97FB (韻): 韻,優雅,トーン | rhyme,elegance,tone
540B (吋): インチ | inch
53F3 (右): 右 | right
5B87 (宇): ひさし,ルーフ,家,天国 | eaves,roof,house,heaven
70CF (烏): カラス,カラス | crow,raven
7FBD (羽): 羽毛,鳥のためのカウンタ,ウサギ | feathers,counter for birds, rabbits
8FC2 (迂): 回り道 | roundabout way
96E8 (雨): 雨 | rain
536F (卯): 野ウサギやウサギの兆候,干支の第四の兆候,5-7AM,東 | sign of the hare or rabbit,fourth sign of Chinese zodiac,5-7AM,east
9D5C (鵜): 鵜 | cormorant
7ABA (窺): 待ち伏せます,上のスパイ,偵察 | lie in wait,spy on,reconnoiter
4E11 (丑): 牛や牛の兆候,1-3AM,干支の第二の兆候 | sign of the ox or cow,1-3AM,second sign of Chinese zodiac
7893 (碓): 乳棒 | pestle
81FC (臼): モルタル | mortar
6E26 (渦): 渦,渦,渦 | whirlpool,eddy,vortex
5618 (嘘): うそ,虚偽 | lie,falsehood
5504 (唄): 歌,バラード | song,ballad
6B1D (欝): 暗がり,うつ病,憂鬱 | gloom,depression,melancholy
851A (蔚): 高密度増殖 | dense growth
9C3B (鰻): ウナギ | eel
59E5 (姥): 老婦人 | old woman
53A9 (厩): 納屋,安定しました | barn,stable
6D66 (浦): ベイ,クリーク,インレット,湾,ビーチ,海岸 | bay,creek,inlet,gulf,beach,seacoast
74DC (瓜): メロン | melon
958F (閏): インターカレーション,非嫡出王位 | intercalation,illegitimate throne
5642 (噂): 噂,ゴシップ,伝聞 | rumor,gossip,hearsay
4E91 (云): いう | say
904B (運): キャリー,運,運命,運命,たくさん,輸送,進捗,前進 | carry,luck,destiny,fate,lot,transport,progress,advance
96F2 (雲): 雲 | cloud
834F (荏): 豆,エゴマ,ハーブ,柔らかい,柔軟な | bean,perilla,herb,soft,pliable
990C (餌): フード,餌,餌食,魅力的な利益 | food,bait,prey,tempting profit
53E1 (叡): インテリジェンス,インペリアル | intelligence,imperial
55B6 (営): 職業,キャンプ,実行します,ビルド,実施（ビジネス） | occupation,camp,perform,build,conduct (business)
5B30 (嬰): シャープ（音楽）,赤ちゃん | sharp (music),baby
5F71 (影): 影,シルエット,ファントム | shadow,silhouette,phantom
6620 (映): 反映します,反射,投影 | reflect,reflection,projection
66F3 (曳): 引く,強く引っ張ります,ジャーク,認めます,インストール,見積もり,を参照してください。 | pull,tug,jerk,admit,install,quote,refer to
6804 (栄): 栄えます,繁栄,名誉,栄光,素晴らしさ | flourish,prosperity,honor,glory,splendor
6C38 (永): 永遠,長いです,長い | eternity,long,lengthy
6CF3 (泳): 泳ぐ | swim
6D29 (洩): リーク,エスケープ | leak,escape
745B (瑛): 宝石の輝き,結晶 | sparkle of jewelry,crystal
76C8 (盈): 充実,十分な,誇り,満たす | fullness,enough,pride,satisfy
7A4E (穎): 穀物の頭,賢さ | heads of grain,cleverness
9834 (頴): 穀物の頭,賢さ | heads of grain,cleverness
82F1 (英): イングランド,英語,ヒーロー,傑出した,萼 | England,English,hero,outstanding,calyx
885B (衛): 防衛,保護 | defense,protection
8A60 (詠): 朗読,詩,歌,構成します | recitation,poem,song,composing
92ED (鋭): 尖った,切れ味,エッジ,武器,シャープ,暴力的な | pointed,sharpness,edge,weapon,sharp,violent
6DB2 (液): 流体,液体,ジュース,樹液,分泌 | fluid,liquid,juice,sap,secretion
75AB (疫): 流行 | epidemic
76CA (益): 利益,利得,利益,利点 | benefit,gain,profit,advantage
99C5 (駅): 駅 | station
60A6 (悦): エクスタシー,喜び,歓喜 | ecstasy,joy,rapture
8B01 (謁): 聴衆,観客（キング付き） | audience,audience (with king)
8D8A (越): しのぎます,クロスオーバー,へ引っ越す,超えます,ベトナム | surpass,cross over,move to,exceed,Vietnam
95B2 (閲): レビュー,検査,リビジョン | review,inspection,revision
698E (榎): 蓮の木,エノキ,ハックベリー | lotus tree,nettle tree,hackberry
53AD (厭): 飽きます,満腹します,ボア,嫌い,嫌,歓迎されません | get tired of,satiate,bore,dislike,disagreeable,unwelcome
5186 (円): サークル,円,円形 | circle,yen,round
5712 (園): パーク,庭園,ヤード,ファーム | park,garden,yard,farm
5830 (堰): ダム,防ぐ,塞ぎます | dam,prevent,stop up
5944 (奄): カバー,窒息させます,妨害します | cover,suffocate,obstruct
5BB4 (宴): バンケット,ごちそう,パーティー | banquet,feast,party
5EF6 (延): 延ばします,ストレッチング | prolong,stretching
6028 (怨): 恨み,恨みを表示,うらやみます | grudge,show resentment,be jealous
63A9 (掩): カバー,隠す | cover,conceal
63F4 (援): 唆します,助けて,セーブ | abet,help,save
6CBF (沿): 並んで実行,後について行きます,沿います,沿って横たわります | run alongside,follow along,run along,lie along
6F14 (演): パフォーマンス,行為,遊びます,レンダー,ステージ | performance,act,play,render,stage
708E (炎): 炎症,火炎,炎 | inflammation,flame,blaze
7114 (焔): 火炎,炎 | flame,blaze
7159 (煙): 煙 | smoke
71D5 (燕): ツバメ（鳥） | swallow (bird)
733F (猿): モンキー | monkey
7E01 (縁): 親和性,関係,接続,エッジ,境界,寸前,瀬戸際 | affinity,relation,connection,edge,border,verge,brink
8276 (艶): 光沢のあります,光沢,釉薬,研磨,チャーム,カラフル,魅惑的な | glossy,luster,glaze,polish,charm,colorful,captivating
82D1 (苑): 庭園,ファーム,パーク | garden,farm,park
8597 (薗): 庭園,ヤード,ファーム | garden,yard,farm
9060 (遠): 遠く,遠く | distant,far
925B (鉛): 鉛 | lead
9D1B (鴛): 男性のオシドリ | male mandarin duck
5869 (塩): 塩 | salt
65BC (於): に,に,に,はどうかと言うと | at,in,on,as for
6C5A (汚): 汚れた,汚染します,不名誉,レイプ,汚します | dirty,pollute,disgrace,rape,defile
7525 (甥): 甥 | nephew
51F9 (凹): 凹面,ホロー,沈みました | concave,hollow,sunken
592E (央): センター,中間 | center,middle
5965 (奥): ハート,インテリア | heart,interior
5F80 (往): 旅,旅行,追い払う,手放す,行き,前,以前は | journey,travel,chase away,let go,going,before,formerly
5FDC (応): 適用します,回答,はい,[OK],応答,受け入れます | apply,answer,yes,OK,reply,accept
62BC (押): 押す,やめる,チェック,征服します,アタッチ,つかみます,重量,押し込みます,押す,シール,にも関わらず行います | push,stop,check,subdue,attach,seize,weight,shove,press,seal,do in spite of
65FA (旺): 繁栄しています,成功しました,綺麗な,活発な | flourishing,successful,beautiful,vigorous
6A2A (横): 横向きに,側,水平の,幅,横糸,不当な,ひねくれました | sideways,side,horizontal,width,woof,unreasonable,perverse
6B27 (欧): ヨーロッパ | Europe
6BB4 (殴): 暴行,ヒット,ビート,スラッシュ | assault,hit,beat,thrash
738B (王): キング,ルール,大物 | king,rule,magnate
7FC1 (翁): 由緒ある老人 | venerable old man
8956 (襖): 不透明なスライドドア | opaque sliding door
9D2C (鴬): ナイチンゲール,ウグイス | nightingale,bush warbler
9D0E (鴎): 鴎 | seagull
9EC4 (黄): 黄 | yellow
5CA1 (岡): マウント,丘,小山 | mount,hill,knoll
6C96 (沖): 外海,沖,空高く上昇 | open sea,offing,rise high into sky
837B (荻): リード,ラッシュ | reed,rush
5104 (億): 億,10 ** 8 | hundred million,10**8
5C4B (屋): ルーフ,家,ショップ,ディーラー,売り手 | roof,house,shop,dealer,seller
61B6 (憶): 回想,考えます,覚えています | recollection,think,remember
81C6 (臆): 臆病,ハート,マインド,恐れ,臆病な | timidity,heart,mind,fear,cowardly
6876 (桶): バスタブ,バケツ | tub,bucket
7261 (牡): 男性 | male
4E59 (乙): 後者,複製,奇妙な,機知に富みました,釣り針ラジカル（NO。5） | the latter,duplicate,strange,witty,fishhook radical (no. 5)
4FFA (俺): 私,私自身 | I,myself
5378 (卸): 卸売り | wholesale
6069 (恩): グレース,親切,善,好意,慈悲,祝福,利益 | grace,kindness,goodness,favor,mercy,blessing,benefit
6E29 (温): 暖かいです | warm
7A4F (穏): 穏やかな,静か,節度 | calm,quiet,moderation
97F3 (音): 音,ノイズ | sound,noise
4E0B (下): 以下,ダウン,下ります,与える,低いです,劣ります | below,down,descend,give,low,inferior
5316 (化): 変化する,の形をとります,影響,エンチャント,惑わします,-ization | change,take the form of,influence,enchant,delude,-ization
4EEE (仮): 偽の,一時的,暫定的な,偽名）,非公式 | sham,temporary,interim,assumed (name),informal
4F55 (何): 何 | what
4F3D (伽): 看護,主治医,エンターテイナー | nursing,attending,entertainer
4FA1 (価): 値,価格 | value,price
4F73 (佳): 優れた,綺麗な,良い,楽しいです,熟練しました | excellent,beautiful,good,pleasing,skilled
52A0 (加): 加えます,添加,増加する,参加します,含めます,カナダ | add,addition,increase,join,include,Canada
53EF (可): できる,まずまずの,いけません,いけません,しない | can,passable,mustn\'t,should not,do not
5609 (嘉): 拍手を送ります,賞賛,尊敬,ハッピー,縁起の良いです | applaud,praise,esteem,happy,auspicious
590F (夏): 夏 | summer
5AC1 (嫁): 結婚,花嫁 | marry into,bride
5BB6 (家): 家,ホーム,家族,プロ,専門家,パフォーマー | house,home,family,professional,expert,performer
5BE1 (寡): 寡婦,少数,少数 | widow,minority,few
79D1 (科): 部門,コース,セクション | department,course,section
6687 (暇): 余暇,残り,余暇,時間,休暇 | spare time,rest,leisure,time,leave of absence
679C (果): フルーツ,褒賞,実施する,達成します,コンプリート,終わり,仕上げ,成功します | fruit,reward,carry out,achieve,complete,end,finish,succeed
67B6 (架): 直立,フレーム,マウント,サポート,棚,構築します | erect,frame,mount,support,shelf,construct
6B4C (歌): 歌,歌う | song,sing
6CB3 (河): 川 | river
706B (火): 火災 | fire
73C2 (珂): 宝石 | jewel
798D (禍): 災害,不幸,悪の,呪い | calamity,misfortune,evil,curse
79BE (禾): 2分木ラジカル（NO。115） | two-branch tree radical (no. 115)
7A3C (稼): 収益,作業,お金を稼ぐ | earnings,work,earn money
7B87 (箇): 記事のためのカウンタ | counter for articles
82B1 (花): 花 | flower
82DB (苛): 苦しめる,叱る,懲らしめます | torment,scold,chastise
8304 (茄): ナス | eggplant
8377 (荷): 荷物,肩ポール・ロード,クマ（負担）,肩（銃）,負荷,貨物,運賃 | baggage,shoulder-pole load,bear (a burden),shoulder (a gun),load,cargo,freight
83EF (華): 素晴らしさ,花,花弁,輝き,光沢,派手な,派手,ゲイ,ゴージャス | splendor,flower,petal,shine,luster,ostentatious,showy,gay,gorgeous
83D3 (菓): キャンディ,ケーキ,フルーツ | candy,cakes,fruit
8766 (蝦): エビ,エビ,ロブスター | shrimp,prawn,lobster
8AB2 (課): 章,レッスン,セクション,部門,分割,（本の）の章のためのカウンタ | chapter,lesson,section,department,division,counter for chapters (of a book)
5629 (嘩): うるさい | noisy
8CA8 (貨): 運賃,品,プロパティ | freight,goods,property
8FE6 (迦): （音声的に使用されます） | (used phonetically)
904E (過): やり過ぎます,超えます,越えて行く,エラー | overdo,exceed,go beyond,error
971E (霞): 朦朧たる,薄暗い成長,ぼやけました | be hazy,grow dim,blurred
868A (蚊): 蚊 | mosquito
4FC4 (俄): 突然,突然の,俄か | sudden,abrupt,improvised
5CE8 (峨): 高山 | high mountain
6211 (我): 自我,私,利己的,私たちの,自分 | ego,I,selfish,our,oneself
7259 (牙): 牙,牙,牙ラジカル（NO。92） | tusk,fang,tusk radical (no. 92)
753B (画): ブラシストローク,画像 | brush-stroke,picture
81E5 (臥): かがむ,弓,俯す | bend down,bow,lie prostrate
82BD (芽): 芽,もやし,槍,胚芽 | bud,sprout,spear,germ
86FE (蛾): 蛾 | moth
8CC0 (賀): おめでとうございます,喜び | congratulations,joy
96C5 (雅): 優雅な,エレガント,優美な,洗練されました | gracious,elegant,graceful,refined
9913 (餓): 飢えます,飢えました,渇き | starve,hungry,thirst
99D5 (駕): 車両,駕籠,ごみ,動物をヒッチ | vehicle,palanquin,litter,hitch up an animal
4ECB (介): に詰まっ,貝,介在します,拘わります | jammed in,shellfish,mediate,concern oneself with
4F1A (会): 会議,大会,パーティー,協会,インタビュー,参加します | meeting,meet,party,association,interview,join
89E3 (解): 解きます,ノート,キー,説明,理解,ほどきます,アンドゥ,解決する,回答,キャンセル,免除します,説明します,分 | unravel,notes,key,explanation,understanding,untie,undo,solve,answer,cancel,absolve,explain,minute
56DE (回): 倍と,円形,ゲーム,回転します,出現するためのカウンタ | -times,round,game,revolve,counter for occurrences
584A (塊): 土塊,塊,チャンク,血餅,質量 | clod,lump,chunk,clot,mass
58CA (壊): 取り壊し,ブレーク,破壊する | demolition,break,destroy
5EFB (廻): 円形,ゲーム,回転します,行き渡る,周 | round,game,revolve,go around,circumference
5FEB (快): 陽気な,楽しいです,快いです,快適 | cheerful,pleasant,agreeable,comfortable
602A (怪): 疑わしい,神秘,幻影 | suspicious,mystery,apparition
6094 (悔): 悔い改めます,後悔 | repent,regret
6062 (恢): ワイド,大,拡大します | wide,large,enlarge
61D0 (懐): ポケット,感情,ハート,憧れます,誰かを逃します,に付着,懐,乳 | pocket,feelings,heart,yearn,miss someone,become attached to,bosom,breast
6212 (戒): 命令 | commandment
62D0 (拐): 誘拐,偽ります | kidnap,falsify
6539 (改): 改革,変化する,修正します,修理,更新します,調べます,検査します,サーチ | reformation,change,modify,mend,renew,examine,inspect,search
9B41 (魁): 魁 | charging ahead of others
6666 (晦): ダーク,姿を消す | dark,disappear
68B0 (械): 工夫,足枷,機械,楽器 | contraption,fetter,machine,instrument
6D77 (海): 海,海洋 | sea,ocean
7070 (灰): 遺灰,しわの多いジュース,火葬 | ashes,puckery juice,cremate
754C (界): 世界,境界 | world,boundary
7686 (皆): すべて,すべてのもの | all,everything
7D75 (絵): 画像,お絵かき,ペインティング,スケッチ | picture,drawing,painting,sketch
82A5 (芥): マスタード,レイプ,ほこり,ゴミ,ごみ | mustard,rape,dust,trash,rubbish
87F9 (蟹): カニ | crab
958B (開): 開いた,展開します,封を切ります | open,unfold,unseal
968E (階): 階,階段,建物の階のカウンター | storey,stair,counter for storeys of a building
8C9D (貝): 貝 | shellfish
51F1 (凱): 凱歌 | victory song
52BE (劾): 酷評,犯罪捜査 | censure,criminal investigation
5916 (外): 外側 | outside
54B3 (咳): 咳,明確な喉 | cough,clear throat
5BB3 (害): 害,損傷 | harm,injury
5D16 (崖): 崖,はったり,絶壁 | cliff,bluff,precipice
6168 (慨): ルー,悲しみます,ため息,嘆く | rue,be sad,sigh,lament
6982 (概): アウトライン,調子,近似値,一般に | outline,condition,approximation,generally
6DAF (涯): 地平線,海岸,リミット,バウンド | horizon,shore,limit,bound
788D (碍): 障害 | obstacle
84CB (蓋): カバー,蓋,フラップ | cover,lid,flap
8857 (街): 大通り,通り,タウン | boulevard,street,town
8A72 (該): 上述しました,前記の,その具体的な | above-stated,the said,that specific
93A7 (鎧): 鎧に置きます,武装 | put on armor,arm oneself
9AB8 (骸): 骨,体,死体 | bone,body,corpse
6D6C (浬): 結び目,海里 | knot,nautical mile
99A8 (馨): 香り高いです,さわやかな,有利な | fragrant,balmy,favourable
86D9 (蛙): カエル | frog
57A3 (垣): ヘッジ,フェンス,壁 | hedge,fence,wall
67FF (柿): 柿 | persimmon
86CE (蛎): カキ | oyster
920E (鈎): フック,バーブ,ガフ,カッコ | hook,barb,gaff,brackets
5283 (劃): 分割 | divide
5687 (嚇): 恐ろしいです,尊厳,威厳,脅かす | menacing,dignity,majesty,threaten
5404 (各): 各,あらゆる,どちら | each,every,either
5ED3 (廓): 囲い,四半期,遊郭 | enclosure,quarter,red-light district
62E1 (拡): 広げる,延長する,拡大します,拡大します | broaden,extend,expand,enlarge
64B9 (撹): ディスターブ,混乱に投げます | disturb,throw into confusion
683C (格): 状態,ランク,容量,キャラクター,ケース（法律,文法） | status,rank,capacity,character,case (law, grammar)
6838 (核): 核,コア,カーネル | nucleus,core,kernel
6BBB (殻): 殻,ナットシェル | husk,nut shell
7372 (獲): つかみます,取得する,見つけます,獲得します,取得します,できる,かもしれません,することができます | seize,get,find,earn,acquire,can,may,able to
78BA (確): 保証,当社,タイト,ハード,固体,確認します,クリア,明らか | assurance,firm,tight,hard,solid,confirm,clear,evident
7A6B (穫): 収穫,刈り取ります | harvest,reap
899A (覚): 暗記します,学びます,覚えています,起きている,目を覚ます | memorize,learn,remember,awake,sober up
89D2 (角): 角度,コーナー,平方,ホーン,枝角 | angle,corner,square,horn,antlers
8D6B (赫): 突然,明るくします,イルミナティ,点灯します | suddenly,brighten,illuminate,light up
8F03 (較): コントラスト,比較します | contrast,compare
90ED (郭): 囲い,四半期,要塞,遊郭 | enclosure,quarters,fortification,red-light district
95A3 (閣): タワー,高い建物,宮殿 | tower,tall building,palace
9694 (隔): 隔離します,代わりの,距離,別,湾 | isolate,alternate,distance,separate,gulf
9769 (革): レザー,肌,改革,深刻になります | leather,skin,reform,become serious
5B66 (学): 調査,学習,科学 | study,learning,science
5CB3 (岳): ポイント,ピーク,山 | point,peak,mountain
697D (楽): 音楽,快適さ,楽 | music,comfort,ease
984D (額): 額,タブレット,プラーク,額装画像,和,量,ボリューム | forehead,tablet,plaque,framed picture,sum,amount,volume
984E (顎): 顎,顎,えら | jaw,chin,gill
639B (掛): ハング,サスペンド,左右される,到着する,税金,注ぐ | hang,suspend,depend,arrive at,tax,pour
7B20 (笠): 笠,1 \ 'sの影響 | bamboo hat,one\'s influence
6A2B (樫): 樫,（kokuji） | evergreen oak,(kokuji)
6A7F (橿): オーク | oak
68B6 (梶): スカリングオール | sculling oar
9C0D (鰍): 車掌 | bullhead
6F5F (潟): ラグーン | lagoon
5272 (割): 割合,比較的,分割,カット,別,スプリット | proportion,comparatively,divide,cut,separate,split
559D (喝): ハスキー,叱る | hoarse,scold
6070 (恰): 同じように,以下のようです,幸いにも | just as,as though,fortunately
62EC (括): 留めます,タイアップ,逮捕,締め付けます | fasten,tie up,arrest,constrict
6D3B (活): にぎやか,蘇生,助けされています,生活 | lively,resuscitation,being helped,living
6E07 (渇): 渇き,干上がります,パッチ | thirst,dry up,parch
6ED1 (滑): 滑りやすいです,滑り台,スリップ,落第 | slippery,slide,slip,flunk
845B (葛): クズウコン,葛 | arrowroot,kudzu
8910 (褐): 褐色,ウールの着物 | brown,woollen kimono
8F44 (轄): コントロール,ウェッジ | control,wedge
4E14 (且): さらに,また,さらに | moreover,also,furthermore
9C39 (鰹): カツオ | bonito
53F6 (叶): 付与,回答 | grant,answer
691B (椛): 紅葉,カバノキ,メープル,（kokuji） | autumn foliage,birch,maple,(kokuji)
6A3A (樺): カバノキ,暗赤色 | birch,dark red
9784 (鞄): スーツケース,バッグ,ブリーフケース | suitcase,bag,briefcase
682A (株): ストック,切り株,株式,株式,小規模プラント用カウンタ | stocks,stump,shares,stock,counter for small plants
515C (兜): ヘルメット,かぶと | helmet,head piece
7AC3 (竃): ガスレンジ,ファーネス,オーブン,健康 | kitchen stove,furnace,oven,hearth
84B2 (蒲): 蒲,フラグ,ガマ | bullrush,flag,cattail
91DC (釜): ケトル,大釜,釜 | kettle,cauldron,iron pot
938C (鎌): 鎌,大鎌,トリック | sickle,scythe,trick
565B (噛): かみます,一口,かじります | chew,bite,gnaw
9D28 (鴨): 鴨,カモ | wild duck,easy mark
6822 (栢): オーク | oak
8305 (茅): ススキリード | miscanthus reed
8431 (萱): ススキリード | miscanthus reed
7CA5 (粥): おかゆ | rice gruel
5208 (刈): 刈り取ります,カット,クリップ,トリム,プルーン | reap,cut,clip,trim,prune
82C5 (苅): 切断（草） | cutting (grass)
74E6 (瓦): タイル,グラム | tile,gram
4E7E (乾): 干ばつ,ドライ,dessicated,飲み干す,天国,天皇 | drought,dry,dessicate,drink up,heaven,emperor
4F83 (侃): 強い,ただ,正しいです,平和を愛好します | strong,just,righteous,peace-loving
51A0 (冠): クラウン,ベスト,比類のありません | crown,best,peerless
5BD2 (寒): コールド | cold
520A (刊): パブリッシュ,彫ります,刻みます | publish,carve,engrave
52D8 (勘): 直感,知覚,チェック,比較します,第六感 | intuition,perception,check,compare,sixth sense
52E7 (勧): 説得します,推奨します,アドバイス,奨励します,提供 | persuade,recommend,advise,encourage,offer
5DFB (巻): スクロール,ボリューム,本,部,巻き上げる,巻き上げます,ネクタイ,コイル,テキスト（あるいはブックスクロール）するためのカウンタ | scroll,volume,book,part,roll up,wind up,tie,coil,counter for texts (or book scrolls)
