73FE (現): 現在,既存の,実際 | present,existing,actual
53E3 (口): 口 | mouth
5411 (向): あそこの,向い,超えて,直面します,無視します,向かう傾向,アプローチ | yonder,facing,beyond,confront,defy,tend toward,approach
540E (后): 皇后,女王,後の,後ろに,バック,後で | empress,queen,after,behind,back,later
5589 (喉): 喉,音声 | throat,voice
5751 (坑): ピット,穴 | pit,hole
57A2 (垢): 泥,汚れ,耳垢 | dirt,grime,earwax
597D (好): 好きな,楽しいです,何かのように | fond,pleasing,like something
5B54 (孔): 空洞,穴,スリット,非常に,すばらしいです,極めて | cavity,hole,slit,very,great,exceedingly
5B5D (孝): 親孝行,子どもの敬意 | filial piety,child\'s respect
5B8F (宏): ワイド,大 | wide,large
5DE5 (工): クラフト,建設,カタカナ電子ラジカル（NO。48） | craft,construction,katakana e radical (no. 48)
5DE7 (巧): 器用な,熟練しました,独創性 | adroit,skilled,ingenuity
5DF7 (巷): 道路の分岐点,シーン,アリーナ,劇場 | fork in road,scene,arena,theater
5E78 (幸): 幸福,祝福,幸運 | happiness,blessing,fortune
5E83 (広): ワイド,広いです,広々とした | wide,broad,spacious
5E9A (庚): 第七,第七カレンダーの記号 | 7th,7th calendar sign
5EB7 (康): 楽,平和 | ease,peace
5F18 (弘): 広大な,広いです,ワイド | vast,broad,wide
6052 (恒): 恒常,常に | constancy,always
614C (慌): まごまご,混乱します,うろたえます | disconcerted,be confused,lose one\'s head
6297 (抗): 直面します,抵抗します,無視します,反対します | confront,resist,defy,oppose
62D8 (拘): 逮捕,つかみます,心配している,付着する,にもかかわらず | arrest,seize,concerned,adhere to,despite
63A7 (控): 撤退します,集めます,引き止めます,控える,中程度であること | withdraw,draw in,hold back,refrain from,be moderate
653B (攻): 侵略,攻撃,批判します,研磨 | aggression,attack,criticize,polish
6602 (昂): 上昇 | rise
6643 (晃): クリア | clear
66F4 (更): 後半に成長,宿直,遅くまで起きています,もちろん,更新します,改修します,再び,だんだん,さらに | grow late,night watch,sit up late,of course,renew,renovate,again,more and more,further
676D (杭): 杭,役職,ピケット | stake,post,picket
6821 (校): 試験,学校,印刷,証明,補正 | exam,school,printing,proof,correction
6897 (梗): 大部分,閉じる,花の茎 | for the most part,close up,flower stem
69CB (構): 姿勢,ビルド,装います | posture,build,pretend
6C5F (江): クリーク,インレット,ベイ | creek,inlet,bay
6D2A (洪): 大洪水,洪水,広大な | deluge,flood,vast
6D69 (浩): 一群れ,豊富,活発な | wide expanse,abundance,vigorous
6E2F (港): 港 | harbor
6E9D (溝): ガター,溝,下水道,ドレイン,10 ** 32 | gutter,ditch,sewer,drain,10**32
7532 (甲): 鎧,高い（声）,グレード,ファーストクラス,前者,甲,甲羅 | armor,high (voice),A grade,first class,former,instep,carapace
7687 (皇): 天皇 | emperor
786C (硬): 堅いです,ハード | stiff,hard
