52D5 (動): 移動,モーション,変化する,混乱,シフト,振ります | move,motion,change,confusion,shift,shake
60C7 (惇): 誠実,種類,思いやりのあります | sincere,kind,considerate
6566 (敦): 産業,温情 | industry,kindliness
6C8C (沌): 太古の混沌 | primeval chaos
8C5A (豚): 豚肉,豚 | pork,pig
9041 (遁): ノミ,エスケープ,逃れます,逃れます,自由に設定 | flee,escape,shirk,evade,set free
9813 (頓): 突然,すぐに,急いで,アレンジ,留まります,弓,叩頭 | suddenly,immediately,in a hurry,arrange,stay in place,bow,kowtow
5451 (呑): ドリンク | drink
66C7 (曇): 曇天,曇らせます | cloudy weather,cloud up
920D (鈍): 鈍い,スロー,愚かな,鈍いです | dull,slow,foolish,blunt
5948 (奈): 奈良,何？ | Nara,what?
90A3 (那): 何？ | what?
5185 (内): 内部,以内,の間に,間の,家,ホーム | inside,within,between,among,house,home
4E4D (乍): しかし,にもかかわらず,同時に,間に,どちらも,すべて | though,notwithstanding,while,during,both,all
51EA (凪): 小康状態,穏やかな,（kokuji） | lull,calm,(kokuji)
8599 (薙): なぎ倒す（敵） | mow down (the enemy)
8B0E (謎): 謎,パズル,エニグマ,ヒント,先端 | riddle,puzzle,enigma,hint,tip
7058 (灘): 外海 | open sea
637A (捺): 押す,印刷,印を押します,切手 | press,print,affix a seal,stamp
934B (鍋): ポット,パン,ケトル | pot,pan,kettle
6962 (楢): オーク | oak
99B4 (馴): 慣れます,経験豊かな,飼いならさ | get used to,experienced,tamed
7E04 (縄): わら縄,コード | straw rope,cord
7577 (畷): 水田の尾根パス | rice field ridge path
5357 (南): 南 | south
6960 (楠): クスノキ | camphor tree
8EDF (軟): 柔らかい | soft
96E3 (難): 難しいです,不可能,トラブル,事故,欠陥 | difficult,impossible,trouble,accident,defect
6C5D (汝): 君は,汝 | you,thou
4E8C (二): 二,2ラジカル（NO 2） | two,two radical (no.2)
5C3C (尼): 修道女 | nun
5F10 (弐): 二,二,二番 | II,two,second
8FE9 (迩): アプローチ,近く,閉じる | approach,near,close
5302 (匂): 香り高いです,悪臭,グロー,ほのめかします,（kokuji） | fragrant,stink,glow,insinuate,(kokuji)
8CD1 (賑): 栄えます,賑やかなこと,繁栄 | flourish,be bustling,prosperity
8089 (肉): お肉 | meat
8679 (虹): 虹 | rainbow
5EFF (廿): 20 | twenty
65E5 (日): 日,太陽,日本,日カウンタ | day,sun,Japan,counter for days
4E73 (乳): ミルク,おっぱい | milk,breasts
5165 (入): 入る,インサート | enter,insert
5982 (如): 肖像,以下のような,といった,かのように,より良いです,ベスト,等しい | likeness,like,such as,as if,better,best,equal
5C3F (尿): 尿 | urine
97EE (韮): リーキ | leek
4EFB (任): 責任,義務,期間,任せます,任命します | responsibility,duty,term,entrust to,appoint
598A (妊): 妊娠 | pregnancy
5FCD (忍): 耐える,くま,我慢します,隠す,分泌します,スパイ,スニーク | endure,bear,put up with,conceal,secrete,spy,sneak
8A8D (認): 認める,証人,識別する,認めます,感謝する,信じます | acknowledge,witness,discern,recognize,appreciate,believe
6FE1 (濡): ぬれる,湿りました,愛の営みをします | get wet,damp,make love
79B0 (禰): 先祖の神社 | ancestral shrine
7962 (祢): 先祖の神社 | ancestral shrine
5BE7 (寧): むしろ,望ましくは,穏やかな,静か,静けさ | rather,preferably,peaceful,quiet,tranquility
8471 (葱): 石のネギ,ネギ | stone leek,Welsh onion
732B (猫): ネコ | cat
71B1 (熱): 熱,温度,熱,マニア,情熱 | heat,temperature,fever,mania,passion
5E74 (年): 年,年間のカウンタ | year,counter for years
5FF5 (念): 希望,感覚,アイディア,思想,感じ,慾望,注意 | wish,sense,idea,thought,feeling,desire,attention
637B (捻): クルクル回します,ねじれ,と遊ぶ | twirl,twist,play with
649A (撚): ねじれ,より糸,変態の | twist,twine,kinky
71C3 (燃): 燃やす,炎,グロー | burn,blaze,glow
7C98 (粘): スティッキー,粘着質の,脂ぎりました,辛抱します | sticky,glutinous,greasy,persevere
4E43 (乃): から,所有粒子,すると,それに応じて | from,possessive particle,whereupon,accordingly
