513F (儿): 足ラジカル（NO。10） | legs radical (no. 10)
5294 (劔): 剣 | sword
5292 (劒): 剣 | sword
5271 (剱): 剣 | sword
5288 (劈): ブレーク,涙,スプリット | break,tear,split
5291 (劑): 医学,ドラッグ,用量 | medicine,drug,dose
8FA8 (辨): 差別,処分します,区別する | discrimination,dispose of,distinguish
8FA7 (辧): 管理します,行う,ハンドル,扱う | manage,do,handle,deal with
52AC (劬): 疲れた,忙しく働きます | become tired,work busily
52AD (劭): 推奨します,一生懸命に働きます,綺麗な | recommend,work hard,beautiful
52BC (劼): 注意してください,ハード,努力します | be careful,hard,strive
52B5 (劵): 疲労になります,やめる | become fatigued,stop
52C1 (勁): 強い | strong
52CD (勍): 強い,激しい | strong,fierce
52D7 (勗): 勤めます | be diligent
52DE (勞): 感謝,報酬 | thank for,reward for
52E3 (勣): 値する,成果 | merit,achievement
52E6 (勦): 破壊する,スチール | destroy,steal
98ED (飭): 正しい,正します | correct,rectify
52E0 (勠): コンバイン,協力します | combine,join forces
52F3 (勳): 労功,本案,ランク | meritorious deed,merits,rank
52F5 (勵): 努力します,奨励します | strive,encourage
52F8 (勸): 説得します,推奨します,アドバイス,奨励します,提供 | persuade,recommend,advise,encourage,offer
52F9 (勹): ラッピングエンクロージャ,ラッピングラジカル（NO。20） | wrapping enclosure,wrapping radical (no. 20)
5306 (匆): ラッシュ,急ぎます,慌てふためきます | rush,hurry,be flustered
5308 (匈): 混乱,ハンガリー | turmoil,Hungary
7538 (甸): 帝国の首都周辺地域,周辺 | region around the imperial capital,outskirts
530D (匍): クロール,クリープ | crawl,creep
5310 (匐): クロール | crawl
530F (匏): ヒョウタン | gourd
5315 (匕): スプーン,スプーンやカタカナこんにちはラジカル（NO。21） | spoon,spoon or katakana hi radical (no. 21)
531A (匚): ボックス・オン側筐体ラジカル（NO。22） | box-on-side enclosure radical (no. 22)
5323 (匣): ボックス | box
532F (匯): 旋回,スワール | whirl,swirl
5331 (匱): 胸,財源,匱 | chest,coffer,rice tub
5333 (匳): 化粧品ボックス | cosmetics box
5338 (匸): 隠れエンクロージャラジカル（NO。23） | hiding enclosure radical (no. 23)
