75C5 (病): 病気で,病気 | ill,sick
8986 (覆): 覆ります,カバー,シェード,マントル,落ちぶれます | capsize,cover,shade,mantle,be ruined
6DF5 (淵): 深淵,エッジ,淵,どん底 | abyss,edge,deep pool,the depths
5F17 (弗): ドル | dollar
6255 (払): 支払う,空にする,プルーン,払いのけます,処分します | pay,clear out,prune,banish,dispose of
6CB8 (沸): 沸き返ります,沸騰,発酵,騒動,繁殖 | seethe,boil,ferment,uproar,breed
4ECF (仏): 仏,死んだ,フランス | Buddha,the dead,France
7269 (物): 事,オブジェクト,問題 | thing,object,matter
9B92 (鮒): 鯉 | carp
5206 (分): 部,時間の分,セグメント,シェア,度,1 \ 'スロット,義務,わかる,知っています,レート,1％,チャンス,尺/ 100 | part,minute of time,segment,share,degree,one\'s lot,duty,understand,know,rate,1%,chances,shaku/100
543B (吻): 吻 | proboscis
5674 (噴): 噴火します,注ぎ口,発します,追い出します | erupt,spout,emit,flush out
58B3 (墳): 墓,マウンド | tomb,mound
61A4 (憤): 興奮,憤慨します,憤ります,怒り | aroused,resent,be indignant,anger
626E (扮): なりすまします,着飾る,変装,薄い帯状疱疹 | impersonate,dress up,disguise,thin shingles
711A (焚): 燃やす,キンドル,火をおこします,沸騰,クック | burn,kindle,build a fire,boil,cook
596E (奮): かき立て,力付きます,栄えます | stirred up,be invigorated,flourish
7C89 (粉): フラワー,パウダー,ほこり | flour,powder,dust
7CDE (糞): たわごと,糞便,糞 | shit,feces,excrement
7D1B (紛): そらします,紛れます,迷います,そらします | distract,be mistaken for,go astray,divert
96F0 (雰): 雰囲気,霧 | atmosphere,fog
6587 (文): 文,文献,スタイル,アート,装飾,統計,計画,文学ラジカル（NO。67） | sentence,literature,style,art,decoration,figures,plan,literary radical (no. 67)
805E (聞): ハート,頼みます,聴く | hear,ask,listen
4E19 (丙): 第3種,第三,第三カレンダーの記号 | third class,3rd,3rd calendar sign
4F75 (併): 参加します,集まる,団結させます,集合的な | join,get together,unite,collective
5175 (兵): 兵士,プライベート,軍,軍,戦争,戦略,戦術 | soldier,private,troops,army,warfare,strategy,tactics
5840 (塀): フェンス,壁,（kokuji） | fence,wall,(kokuji)
5E63 (幣): 現金,悪癖,謙虚な接頭辞,贈り物,布の神道の提供,ロープ,単票用紙 | cash,bad habit,humble prefix,gift,Shinto offerings of cloth,rope,cut paper
5E73 (平): さらに,平らな,平和 | even,flat,peace
5F0A (弊): 乱用,悪の,バイス,破損 | abuse,evil,vice,breakage
67C4 (柄): 設計,パターン,ビルド,自然,キャラクター,ハンドル,クランク,グリップ,つまみ,軸 | design,pattern,build,nature,character,handle,crank,grip,knob,shaft
4E26 (並): 行,そして,ほかに,と同様,並ぶ,並,ライバル,等しい | row,and,besides,as well as,line up,rank with,rival,equal
853D (蔽): カバー,シェード,マントル,覆ります,落ちぶれます | cover,shade,mantle,capsize,be ruined
9589 (閉): 閉まっている,シャット | closed,shut
965B (陛): 殿下,（王位の）ステップ | highness,steps (of throne)
7C73 (米): 米,アメリカ合衆国,メーター | rice,USA,metre
9801 (頁): ページ,葉 | page,leaf
