8870 (衰): 低下,衰え,弱める | decline,wane,weaken
88FD (製): で行われました...,製造 | made in...,manufacture
897F (西): 西,スペイン | west,Spain
8AA0 (誠): 誠実,戒めます,警告します,禁止する,真実,忠実 | sincerity,admonish,warn,prohibit,truth,fidelity
8A93 (誓): 誓い,誓う,誓約 | vow,swear,pledge
8ACB (請): 求めます,招待,頼みます | solicit,invite,ask
901D (逝): 故人,死にます | departed,die
9192 (醒): 起きている,醒めます,目を覚ます | awake,be disillusioned,sober up
9752 (青): 青,緑 | blue,green
9759 (静): 静か | quiet
6589 (斉): 調整後,同様に,等しい,同様の様々な | adjusted,alike,equal,similar variety of
7A0E (税): 税金,義務 | tax,duty
8106 (脆): 脆いです,壊れやすいです,打ちやすいです,センチメンタル,影響を受けやすいです | brittle,fragile,easy to beat,sentimental,susceptible
96BB (隻): 船,船舶用カウンタ,魚,鳥類,矢印,ペアの1 | vessels,counter for ships,fish,birds,arrows,one of a pair
5E2D (席): シート,マット,時,場所 | seat,mat,occasion,place
60DC (惜): 同情,の温存します,質素な,けちな,後悔 | pity,be sparing of,frugal,stingy,regret
621A (戚): 悲しみます,親族 | grieve,relatives
65A5 (斥): 拒否する,退却,退きます,撤退します,はじきます,拒絶 | reject,retreat,recede,withdraw,repel,repulse
6614 (昔): 昔々,古代,昔 | once upon a time,antiquity,old times
6790 (析): チョップ,分割,涙,分析します | chop,divide,tear,analyze
77F3 (石): 石 | stone
7A4D (積): ボリューム,製品（のx * yを）,地積,コンテンツ,積み上げます,スタック,負荷,蓄えます | volume,product (x*y),acreage,contents,pile up,stack,load,amass
7C4D (籍): 登録します,在宅レジスタ,メンバーシップ | enroll,domiciliary register,membership
7E3E (績): エクスプロイト,実績,繰り出し繭 | exploits,achievements,unreeling cocoons
810A (脊): 身長,高さ | stature,height
8CAC (責): 非難,非難します,酷評 | blame,condemn,censure
8D64 (赤): 赤 | red
8DE1 (跡): トラック,マーク,印刷,印象 | tracks,mark,print,impression
8E5F (蹟): 遺跡,形跡,フットプリント | remains,traces,footprint
78A9 (碩): 大,すばらしいです,著名な | large,great,eminent
5207 (切): カット,断つ,シャープで | cut,cutoff,be sharp
62D9 (拙): 下手,不器用な,下手な | bungling,clumsy,unskillful
63A5 (接): タッチ,接触,付け合わせます,つなぎ合わせる | touch,contact,adjoin,piece together
6442 (摂): 身代わりの,サロゲート,に加えて行動します,取り込みます,吸収します | vicarious,surrogate,act in addition to,take in,absorb
6298 (折): 折り畳みます,ブレーク,骨折,ベンド,産出,提出します | fold,break,fracture,bend,yield,submit
8A2D (設): 確立,提供,準備します | establishment,provision,prepare
7A83 (窃): ステルス,スチール,秘密,プライベート,静粛 | stealth,steal,secret,private,hushed
7BC0 (節): ノード,シーズン,期間,時,詩,句,スタンザ,名誉,ジョイント,ナックル,つまみ,結び目,曲,メロディー | node,season,period,occasion,verse,clause,stanza,honor,joint,knuckle,knob,knot,tune,melody
8AAC (説): 意見,理論,説明,噂 | opinion,theory,explanation,rumor
96EA (雪): 雪 | snow
7D76 (絶): 中止します,超えて,断ちます,断つ,棄権します,割り込み,抑えます | discontinue,beyond,sever,cut off,abstain,interrupt,suppress
820C (舌): 舌,リード,舌 | tongue,reed,clapper
8749 (蝉): 蝉 | cicada
4ED9 (仙): 隠者,ウィザード,セント | hermit,wizard,cent
5148 (先): 前,先に,前,未来,順位 | before,ahead,previous,future,precedence
5343 (千): 千 | thousand
5360 (占): 占い,卜,予報,占める,ホールド,持ってる,取得する,取る | fortune-telling,divining,forecasting,occupy,hold,have,get,take
5BA3 (宣): 宣言する,いう,アナウンス | proclaim,say,announce
5C02 (専): 専門,排他的,主に,もっぱら | specialty,exclusive,mainly,solely
5C16 (尖): 指摘します,シャープ,テーパー,不機嫌な,怒って,神経質な | be pointed,sharp,taper,displeased,angry,edgy
5DDD (川): ストリーム,川,川や3ストローク川ラジカル（NO。47） | stream,river,river or three-stroke river radical (no. 47)
6226 (戦): 戦争,戦い,一致 | war,battle,match
