9065 (遥): 大きく外れて,遠く,ずっと前に | far off,distant,long ago
616E (慮): 慎重,思想,懸念,考えます,意図的な,恐れ | prudence,thought,concern,consider,deliberate,fear
65C5 (旅): 旅行,旅行 | trip,travel
865C (虜): キャプティブ,野蛮人,敵のための低形容 | captive,barbarian,low epithet for the enemy
4E86 (了): コンプリート,仕上げ | complete,finish
4EAE (亮): クリア,助けて | clear,help
50DA (僚): 同僚,公式,コンパニオン | colleague,official,companion
4E21 (両): どちらも,日本の古いコイン,馬車用のカウンタ（例えば、,）電車の中で,二 | both,old Japanese coin,counter for carriages (e.g., in a train),two
51CC (凌): 耐える,（雨）アウトを保ちます,回避する,乗り切ります,無視します,わずかな,しのぎます | endure,keep (rain)out,stave off,tide over,defy,slight,surpass
5BEE (寮): 寮,ホステル,別荘,ティーパビリオン | dormitory,hostel,villa,tea pavillion
6599 (料): 代,材料 | fee,materials
6881 (梁): 堰,簗,ビーム,桁 | weir,fish trap,beam,girder
6DBC (涼): 爽やか,とても涼しいです | refreshing,nice and cool
731F (猟): ゲーム狩猟,射撃,ゲーム,バッグ | game-hunting,shooting,game,bag
7642 (療): 癒します,治す | heal,cure
77AD (瞭): クリア | clear
7A1C (稜): 角度,エッジ,コーナー,パワー,威厳 | angle,edge,corner,power,majesty
7CE7 (糧): 条文,フード,パン | provisions,food,bread
826F (良): 良い,楽しいです,熟練しました | good,pleasing,skilled
8AD2 (諒): 事実,現実,わかる,感謝する | fact,reality,understand,appreciate
907C (遼): 遠く | distant
91CF (量): 量,測定,重量,量,考えます,見積もり,推量します | quantity,measure,weight,amount,consider,estimate,surmise
9675 (陵): 霊廟,御陵,マウンド,丘 | mausoleum,imperial tomb,mound,hill
9818 (領): 管轄,ドミニオン,地域,封土,治世 | jurisdiction,dominion,territory,fief,reign
529B (力): パワー,力,強い,歪み,耐えます,発揮します | power,strength,strong,strain,bear up,exert
7DD1 (緑): 緑 | green
502B (倫): 倫理,コンパニオン | ethics,companion
5398 (厘): RIN,1/10銭,1/10購入 | rin,1/10 sen,1/10 bu
6797 (林): 木立,森林 | grove,forest
6DCB (淋): 寂しい,さびれました | lonely,deserted
71D0 (燐): リン | phosphorus
7433 (琳): 宝石,宝石のチリンチリンと鳴ります | jewel,tinkling of jewelry
81E8 (臨): 目を向ける,面,大会,直面します,出席する,上の呼び出し | look to,face,meet,confront,attend,call on
8F2A (輪): ホイール,リング,サークル,リンク,ループ,車輪や花のカウンター | wheel,ring,circle,link,loop,counter for wheels and flowers
96A3 (隣): 近隣の | neighboring
9C57 (鱗): スケール（魚） | scales (fish)
9E9F (麟): 中国のユニコーン,天才,キリン,鮮やか,シャイニング | Chinese unicorn,genius,giraffe,bright,shining
7460 (瑠): ラピスラズリ | lapis lazuli
5841 (塁): 拠点,砦,城壁,城壁,野球） | bases,fort,rampart,walls,base(ball)
6D99 (涙): 涙,同情 | tears,sympathy
7D2F (累): 蓄積します,関与,トラブル,タイアップ,絶えず | accumulate,involvement,trouble,tie up,continually
